tenant_id,item_code,location_code,period,quantity,created_at,updated_at
apex,FG001,DC_DEL,2023-04-01,425,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG001,DC_MUM,2023-04-01,336,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG001,DC_BLR,2023-04-01,251,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG001,DC_DEL,2023-05-01,383,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG001,DC_MUM,2023-05-01,363,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG001,DC_BLR,2023-05-01,257,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG001,DC_DEL,2023-06-01,398,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG001,DC_MUM,2023-06-01,306,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG001,DC_BLR,2023-06-01,231,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG001,DC_DEL,2023-07-01,321,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG001,DC_MUM,2023-07-01,291,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG001,DC_BLR,2023-07-01,217,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG001,DC_DEL,2023-08-01,304,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG001,DC_MUM,2023-08-01,274,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG001,DC_BLR,2023-08-01,211,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG001,DC_DEL,2023-09-01,328,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG001,DC_MUM,2023-09-01,272,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG001,DC_BLR,2023-09-01,207,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG001,DC_DEL,2023-10-01,359,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG001,DC_MUM,2023-10-01,276,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG001,DC_BLR,2023-10-01,224,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG001,DC_DEL,2023-11-01,388,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
