tenant_id,item_code,min_months_cover,max_months_cover,created_at,updated_at
apex,FG001,0.5,3.0,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG002,0.5,3.0,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG003,0.5,3.0,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG004,0.5,3.0,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG005,0.5,3.0,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG006,0.5,3.0,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG007,0.5,3.0,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG008,0.5,3.0,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG009,0.5,3.0,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG010,0.5,3.0,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
